Group.1	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
257	11.1825	12.61291667	14.14	13.83958333	12.25625	8.792083333	7.5865
258	9.095229167	10.88333333	13.35520833	13.654375	12.22208333	8.800625	7.598645833
259	8.905479167	10.31020833	12.658125	13.43458333	12.26333333	8.885208333	7.68525
260	9.558520833	10.399375	12.149375	13.07916667	12.20854167	8.889791667	7.691729167
261	11.20395833	11.37791667	12.02270833	12.76729167	12.13604167	8.895416667	7.700770833
262	10.506875	11.07270833	11.99166667	12.605625	12.11875	8.952916667	7.762770833
263	11.07666667	11.30458333	11.89083333	12.40458333	12.01125	8.95125	7.7668125
264	11.31681818	11.48909091	11.87318182	12.28727273	11.93363636	8.955909091	7.771590909
265	10.63	11.02235294	11.75441176	12.17176471	11.85088235	9.001470588	7.826352941
266	9.452979167	10.28645833	11.54520833	12.08416667	11.800625	9.03	7.858625
267	8.950645833	9.831458333	11.23229167	11.919375	11.71166667	9.034375	7.8714375
268	8.803458333	9.578125	10.97770833	11.785625	11.67208333	9.082291667	7.923958333
269	8.9995	9.604375	10.80604167	11.633125	11.62208333	9.122291667	7.973708333
270	9.4715	9.871458333	10.73625	11.48104167	11.5475	9.1375	7.996770833
271	9.982875	10.18479167	10.7625	11.369375	11.4775	9.161875	8.0310625
272	10.65645833	10.74479167	10.88083333	11.23458333	11.33833333	9.117083333	8.000708333
273	8.9775625	9.919791667	10.89833333	11.199375	11.24854167	9.104791667	7.997979167
274	7.386958333	8.674833333	10.54791667	11.16708333	11.20270833	9.137916667	8.045333333
275	8.378104167	8.975604167	10.24145833	11.04520833	11.14145833	9.1475	8.066166667
276	8.995020833	9.403125	10.213125	10.90333333	11.07833333	9.149583333	8.082270833
277	9.534416667	9.756458333	10.27770833	10.81270833	11.015625	9.156041667	8.103666667
278	10.59458333	10.43833333	10.43104167	10.75958333	10.94770833	9.153958333	8.116020833
279	10.44779167	10.53458333	10.61083333	10.75395833	10.884375	9.154375	8.129145833
280	12.753125	11.83166667	10.8325	10.75458333	10.8	9.124166667	8.111145833
281	13.16125	12.69270833	11.43479167	10.81270833	10.72229167	9.097916667	8.100416667
282	11.91583333	12.09958333	11.65833333	10.924375	10.62520833	9.04375	8.062729167
283	11.62083333	11.75020833	11.6425	11.08958333	10.62604167	9.068125	8.102020833
284	11.31	11.59708333	11.64166667	11.20375	10.66	9.112291667	8.16025
285	11.09375	11.29875	11.47416667	11.16541667	10.59270833	9.042916667	8.104458333
286	11.55791667	11.66708333	11.50458333	11.14020833	10.56	9.007083333	8.082458333
287	10.2225	10.76166667	11.344375	11.154375	10.565625	9.007291667	8.097229167
288	8.6275625	9.579375	10.91395833	11.09833333	10.55875	8.996666667	8.100041667
289	7.838916667	8.748541667	10.38375	10.97229167	10.56895833	9.005416667	8.122375
290	7.676979167	8.426875	9.955	10.77375	10.54895833	8.987916667	8.11375
291	7.538104167	8.2435	9.622083333	10.52541667	10.48666667	8.939583333	8.076416667
292	6.8978125	7.772458333	9.3575	10.35375	10.471875	8.956875	8.1054375
